type,organism,conservation_score
Essential,S. cerevisiae,0.480945
Essential,S. cerevisiae,0.465341
Essential,S. cerevisiae,0.448892
Essential,S. cerevisiae,0.5040835
Essential,S. cerevisiae,0.516147
Essential,S. cerevisiae,0.488173
Essential,S. cerevisiae,0.58633
Essential,S. cerevisiae,0.507268
Essential,S. cerevisiae,0.4634675
Essential,S. cerevisiae,0.7337355
Essential,S. cerevisiae,0.754922
Essential,S. cerevisiae,0.771075
Essential,S. cerevisiae,0.650805
Essential,S. cerevisiae,0.754087
Essential,S. cerevisiae,0.402128
Essential,S. cerevisiae,0.534531
Essential,S. cerevisiae,0.356334
Essential,S. cerevisiae,0.5792055
Essential,S. cerevisiae,0.458118
Essential,S. cerevisiae,0.651614
Essential,S. cerevisiae,0.527291
Essential,S. cerevisiae,0.55784
Essential,S. cerevisiae,0.5863095
Essential,S. cerevisiae,0.801234
Essential,S. cerevisiae,0.709702
Essential,S. cerevisiae,0.445515
Essential,S. cerevisiae,0.558213
Essential,S. cerevisiae,0.395362
Essential,S. cerevisiae,0.509923
Essential,S. cerevisiae,0.4072675
Essential,S. cerevisiae,0.528091
Essential,S. cerevisiae,0.5784765
Essential,S. cerevisiae,0.4075565
Essential,S. cerevisiae,0.503833
Essential,S. cerevisiae,0.5164725
Essential,S. cerevisiae,0.702787
Essential,S. cerevisiae,0.564162
Essential,S. cerevisiae,0.398669
Essential,S. cerevisiae,0.479377
Essential,S. cerevisiae,0.534376
Essential,S. cerevisiae,0.479735
Essential,S. cerevisiae,0.47921
Essential,S. cerevisiae,0.7066045
Essential,S. cerevisiae,0.566034
Essential,S. cerevisiae,0.363735
Essential,S. cerevisiae,0.501581
Essential,S. cerevisiae,0.694651
Essential,S. cerevisiae,0.506852
Essential,S. cerevisiae,0.659544
Essential,S. cerevisiae,0.476552
Essential,S. cerevisiae,0.349581
Essential,S. cerevisiae,0.760305
Essential,S. cerevisiae,0.38287
Essential,S. cerevisiae,0.787127
Essential,S. cerevisiae,0.429801
Essential,S. cerevisiae,0.5964
Essential,S. cerevisiae,0.6616885
Essential,S. cerevisiae,0.6529125
Essential,S. cerevisiae,0.354826
Essential,S. cerevisiae,0.7492575
Essential,S. cerevisiae,0.6860325
Essential,S. cerevisiae,0.559892
Essential,S. cerevisiae,0.43558
Essential,S. cerevisiae,0.61982
Essential,S. cerevisiae,0.4161355
Essential,S. cerevisiae,0.606432
Essential,S. cerevisiae,0.765724
Essential,S. cerevisiae,0.5178025
Essential,S. cerevisiae,0.7449575
Essential,S. cerevisiae,0.399064
Essential,S. cerevisiae,0.788618
Essential,S. cerevisiae,0.571653
Essential,S. cerevisiae,0.622807
Essential,S. cerevisiae,0.674762
Essential,S. cerevisiae,0.4180295
Essential,S. cerevisiae,0.755236
Essential,S. cerevisiae,0.475349
Essential,S. cerevisiae,0.584544
Essential,S. cerevisiae,0.7584935
Essential,S. cerevisiae,0.805187
Essential,S. cerevisiae,0.488194
Essential,S. cerevisiae,0.814245
Essential,S. cerevisiae,0.715686
Essential,S. cerevisiae,0.6477775
Essential,S. cerevisiae,0.457547
Essential,S. cerevisiae,0.801136
Essential,S. cerevisiae,0.441782
Essential,S. cerevisiae,0.614924
Essential,S. cerevisiae,0.6203285
Essential,S. cerevisiae,0.495691
Essential,S. cerevisiae,0.465745
Essential,S. cerevisiae,0.465745
Essential,S. cerevisiae,0.5318095
Essential,S. cerevisiae,0.714605
Essential,S. cerevisiae,0.438956
Essential,S. cerevisiae,0.548454
Essential,S. cerevisiae,0.601239
Essential,S. cerevisiae,0.7227815
Essential,S. cerevisiae,0.507932
Essential,S. cerevisiae,0.451426
Essential,S. cerevisiae,0.7616815
Essential,S. cerevisiae,0.761661
Essential,S. cerevisiae,0.815318
Essential,S. cerevisiae,0.754164
Essential,S. cerevisiae,0.4702205
Essential,S. cerevisiae,0.5069955
Essential,S. cerevisiae,0.7625075
Essential,S. cerevisiae,0.472177
Essential,S. cerevisiae,0.469057
Essential,S. cerevisiae,0.674032
Essential,S. cerevisiae,0.481015
Essential,S. cerevisiae,0.521625
Essential,S. cerevisiae,0.522746
Essential,S. cerevisiae,0.5960835
Essential,S. cerevisiae,0.6816615
Essential,S. cerevisiae,0.578198
Essential,S. cerevisiae,0.666816
Essential,S. cerevisiae,0.751905
Essential,S. cerevisiae,0.7139795
Essential,S. cerevisiae,0.458209
Essential,S. cerevisiae,0.717782
Essential,S. cerevisiae,0.715056
Essential,S. cerevisiae,0.714555
Essential,S. cerevisiae,0.496979
Essential,S. cerevisiae,0.3903725
Essential,S. cerevisiae,0.8045385
Essential,S. cerevisiae,0.674454
Essential,S. cerevisiae,0.5149145
Essential,S. cerevisiae,0.58113
Essential,S. cerevisiae,0.671602
Essential,S. cerevisiae,0.530536
Essential,S. cerevisiae,0.407028
Essential,S. cerevisiae,0.7309375
Essential,S. cerevisiae,0.352392
Essential,S. cerevisiae,0.368203
Essential,S. cerevisiae,0.607541
Essential,S. cerevisiae,0.492459
Essential,S. cerevisiae,0.640939
Essential,S. cerevisiae,0.760707
Essential,S. cerevisiae,0.455856
Essential,S. cerevisiae,0.609483
Essential,S. cerevisiae,0.382717
Essential,S. cerevisiae,0.621843
Essential,S. cerevisiae,0.559892
Essential,S. cerevisiae,0.481459
Essential,S. cerevisiae,0.730086
Essential,S. cerevisiae,0.466142
Essential,S. cerevisiae,0.621523
Essential,S. cerevisiae,0.638429
Essential,S. cerevisiae,0.526923
Essential,S. cerevisiae,0.4789985
Essential,S. cerevisiae,0.656877
Essential,S. cerevisiae,0.490377
Essential,S. cerevisiae,0.638833
Essential,S. cerevisiae,0.6721555
Essential,S. cerevisiae,0.472815
Essential,S. cerevisiae,0.662122
Essential,S. cerevisiae,0.6203105
Essential,S. cerevisiae,0.684602
Essential,S. cerevisiae,0.418146
Essential,S. cerevisiae,0.578257
Essential,S. cerevisiae,0.708129
Essential,S. cerevisiae,0.456821
Essential,S. cerevisiae,0.5227785
Essential,S. cerevisiae,0.5133215
Essential,S. cerevisiae,0.483561
Essential,S. cerevisiae,0.463029
Essential,S. cerevisiae,0.7015815
Essential,S. cerevisiae,0.64849
Essential,S. cerevisiae,0.4421405
Essential,S. cerevisiae,0.4884235
Essential,S. cerevisiae,0.4275775
Essential,S. cerevisiae,0.633709
Essential,S. cerevisiae,0.725981
Essential,S. cerevisiae,0.596794
Essential,S. cerevisiae,0.667848
Essential,S. cerevisiae,0.5178225
Essential,S. cerevisiae,0.490151
Essential,S. cerevisiae,0.5985645
Essential,S. cerevisiae,0.533004
Essential,S. cerevisiae,0.4536195
Essential,S. cerevisiae,0.618108
Essential,S. cerevisiae,0.46959
Essential,S. cerevisiae,0.281087
Essential,S. cerevisiae,0.3235495
Essential,S. cerevisiae,0.66256
Essential,S. cerevisiae,0.426755
Essential,S. cerevisiae,0.536783
Essential,S. cerevisiae,0.544701
Essential,S. cerevisiae,0.491036
Essential,S. cerevisiae,0.37081
Essential,S. cerevisiae,0.460097
Essential,S. cerevisiae,0.6690375
Essential,S. cerevisiae,0.471767
Essential,S. cerevisiae,0.5408915
Essential,S. cerevisiae,0.461858
Essential,S. cerevisiae,0.630462
Essential,S. cerevisiae,0.6024695
Essential,S. cerevisiae,0.435084
Essential,S. cerevisiae,0.696094
Essential,S. cerevisiae,0.483112
Essential,S. cerevisiae,0.574899
Essential,S. cerevisiae,0.600008
Essential,S. cerevisiae,0.413668
Essential,S. cerevisiae,0.6643865
Essential,S. cerevisiae,0.427609
Essential,S. cerevisiae,0.5918865
Essential,S. cerevisiae,0.650259
Essential,S. cerevisiae,0.5617085
Essential,S. cerevisiae,0.400251
Essential,S. cerevisiae,0.788043
Essential,S. cerevisiae,0.691433
Essential,S. cerevisiae,0.743897
Essential,S. cerevisiae,0.564116
Essential,S. cerevisiae,0.422063
Essential,S. cerevisiae,0.445291
Essential,S. cerevisiae,0.53662
Essential,S. cerevisiae,0.6985255
Essential,S. cerevisiae,0.377156
Essential,S. cerevisiae,0.670252
Essential,S. cerevisiae,0.640133
Essential,S. cerevisiae,0.700373
Essential,S. cerevisiae,0.379837
Essential,S. cerevisiae,0.5939565
Essential,S. cerevisiae,0.3752725
Essential,S. cerevisiae,0.398943
Essential,S. cerevisiae,0.589717
Essential,S. cerevisiae,0.5004735
Essential,S. cerevisiae,0.5413585
Essential,S. cerevisiae,0.692932
Essential,S. cerevisiae,0.7424535
Essential,S. cerevisiae,0.6795015
Essential,S. cerevisiae,0.5999315
Essential,S. cerevisiae,0.6634375
Essential,S. cerevisiae,0.753904
Essential,S. cerevisiae,0.7224725
Essential,S. cerevisiae,0.367954
Essential,S. cerevisiae,0.5226585
Essential,S. cerevisiae,0.69601
Essential,S. cerevisiae,0.717001
Essential,S. cerevisiae,0.447707
Essential,S. cerevisiae,0.550011
Essential,S. cerevisiae,0.7356675
Essential,S. cerevisiae,0.567708
Essential,S. cerevisiae,0.650271
Essential,S. cerevisiae,0.727062
Essential,S. cerevisiae,0.656311
Essential,S. cerevisiae,0.726185
Essential,S. cerevisiae,0.4243475
Essential,S. cerevisiae,0.6536885
Essential,S. cerevisiae,0.533165
Essential,S. cerevisiae,0.656747
Essential,S. cerevisiae,0.7008245
Essential,S. cerevisiae,0.356164
Essential,S. cerevisiae,0.498113
Essential,S. cerevisiae,0.4935905
Essential,S. cerevisiae,0.603829
Essential,S. cerevisiae,0.512814
Essential,S. cerevisiae,0.45947
Essential,S. cerevisiae,0.773863
Essential,S. cerevisiae,0.688867
Essential,S. cerevisiae,0.576662
Essential,S. cerevisiae,0.4978445
Essential,S. cerevisiae,0.693939
Essential,S. cerevisiae,0.657846
Essential,S. cerevisiae,0.50258
Essential,S. cerevisiae,0.359846
Essential,S. cerevisiae,0.6456445
Essential,S. cerevisiae,0.6882765
Essential,S. cerevisiae,0.703253
Essential,S. cerevisiae,0.363776
Essential,S. cerevisiae,0.5393
Essential,S. cerevisiae,0.4466055
Essential,S. cerevisiae,0.4391
Essential,S. cerevisiae,0.628024
Essential,S. cerevisiae,0.7382985
Essential,S. cerevisiae,0.609664
Essential,S. cerevisiae,0.4974715
Essential,S. cerevisiae,0.498624
Essential,S. cerevisiae,0.669871
Essential,S. cerevisiae,0.602703
Essential,S. cerevisiae,0.286756
Essential,S. cerevisiae,0.6244445
Essential,S. cerevisiae,0.48161
Essential,S. cerevisiae,0.762829
Essential,S. cerevisiae,0.772952
Essential,S. cerevisiae,0.409008
Essential,S. cerevisiae,0.438556
Essential,S. cerevisiae,0.349102
Essential,S. cerevisiae,0.4841575
Essential,S. cerevisiae,0.618237
Essential,S. cerevisiae,0.4479845
Essential,S. cerevisiae,0.398494
Essential,S. cerevisiae,0.5222585
Essential,S. cerevisiae,0.486436
Essential,S. cerevisiae,0.5716855
Essential,S. cerevisiae,0.709672
Essential,S. cerevisiae,0.457449
Essential,S. cerevisiae,0.483613
Essential,S. cerevisiae,0.697807
Essential,S. cerevisiae,0.5286425
Essential,S. cerevisiae,0.539183
Essential,S. cerevisiae,0.775561
Essential,S. cerevisiae,0.48944
Essential,S. cerevisiae,0.3165475
Essential,S. cerevisiae,0.750142
Essential,S. cerevisiae,0.538459
Essential,S. cerevisiae,0.657108
Essential,S. cerevisiae,0.626136
Essential,S. cerevisiae,0.5502695
Essential,S. cerevisiae,0.3983345
Essential,S. cerevisiae,0.464772
Essential,S. cerevisiae,0.605746
Essential,S. cerevisiae,0.50826
Essential,S. cerevisiae,0.3623955
Essential,S. cerevisiae,0.590289
Essential,S. cerevisiae,0.588394
Essential,S. cerevisiae,0.515952
Essential,S. cerevisiae,0.45512
Essential,S. cerevisiae,0.559095
Essential,S. cerevisiae,0.3963525
Essential,S. cerevisiae,0.481611
Essential,S. cerevisiae,0.396193
Essential,S. cerevisiae,0.526843
Essential,S. cerevisiae,0.558468
Essential,S. cerevisiae,0.618354
Essential,S. cerevisiae,0.462639
Essential,S. cerevisiae,0.7350085
Essential,S. cerevisiae,0.6210265
Essential,S. cerevisiae,0.758461
Essential,S. cerevisiae,0.506655
Essential,S. cerevisiae,0.723548
Essential,S. cerevisiae,0.6524635
Essential,S. cerevisiae,0.505011
Essential,S. cerevisiae,0.4881845
Essential,S. cerevisiae,0.44012
Essential,S. cerevisiae,0.558207
Essential,S. cerevisiae,0.4900975
Essential,S. cerevisiae,0.746051
Essential,S. cerevisiae,0.512866
Essential,S. cerevisiae,0.554513
Essential,S. cerevisiae,0.710135
Essential,S. cerevisiae,0.643807
Essential,S. cerevisiae,0.555941
Essential,S. cerevisiae,0.300107
Essential,S. cerevisiae,0.376472
Essential,S. cerevisiae,0.626136
Essential,S. cerevisiae,0.492558
Essential,S. cerevisiae,0.608046
Essential,S. cerevisiae,0.7491645
Essential,S. cerevisiae,0.510266
Essential,S. cerevisiae,0.460172
Essential,S. cerevisiae,0.642178
Essential,S. cerevisiae,0.713515
Essential,S. cerevisiae,0.61014
Essential,S. cerevisiae,0.423535
Essential,S. cerevisiae,0.559304
Essential,S. cerevisiae,0.403806
Essential,S. cerevisiae,0.779403
Essential,S. cerevisiae,0.407089
Essential,S. cerevisiae,0.5866625
Essential,S. cerevisiae,0.5479335
Essential,S. cerevisiae,0.374975
Essential,S. cerevisiae,0.770655
Essential,S. cerevisiae,0.329818
Essential,S. cerevisiae,0.519613
Essential,S. cerevisiae,0.5105865
Essential,S. cerevisiae,0.595531
Essential,S. cerevisiae,0.5770315
Essential,S. cerevisiae,0.6676095
Essential,S. cerevisiae,0.5209325
Essential,S. cerevisiae,0.3467205
Essential,S. cerevisiae,0.765832
Essential,S. cerevisiae,0.441388
Essential,S. cerevisiae,0.602875
Essential,S. cerevisiae,0.717883
Essential,S. cerevisiae,0.4944975
Essential,S. cerevisiae,0.698684
Essential,S. cerevisiae,0.5765055
Essential,S. cerevisiae,0.765766
Essential,S. cerevisiae,0.618451
Essential,S. cerevisiae,0.539768
Essential,S. cerevisiae,0.596392
Essential,S. cerevisiae,0.4845605
Essential,S. cerevisiae,0.490453
Essential,S. cerevisiae,0.56562
Essential,S. cerevisiae,0.725658
Essential,S. cerevisiae,0.38269
Essential,S. cerevisiae,0.779593
Essential,S. cerevisiae,0.497216
Essential,S. cerevisiae,0.6525955
Essential,S. cerevisiae,0.5469095
Essential,S. cerevisiae,0.633899
Essential,S. cerevisiae,0.8074085
Essential,S. cerevisiae,0.749261
Essential,S. cerevisiae,0.637537
Essential,S. cerevisiae,0.62064
Essential,S. cerevisiae,0.534244
Essential,S. cerevisiae,0.7198905
Essential,S. cerevisiae,0.624528
Essential,S. cerevisiae,0.499367
Essential,S. cerevisiae,0.530553
Essential,S. cerevisiae,0.5409545
Essential,S. cerevisiae,0.606091
Essential,S. cerevisiae,0.354442
Essential,S. cerevisiae,0.7119495
Essential,S. cerevisiae,0.510266
Essential,S. cerevisiae,0.680578
Essential,S. cerevisiae,0.648131
Essential,S. cerevisiae,0.413672
Essential,S. cerevisiae,0.536916
Essential,S. cerevisiae,0.4463975
Essential,S. cerevisiae,0.440034
Essential,S. cerevisiae,0.589711
Essential,S. cerevisiae,0.7583595
Essential,S. cerevisiae,0.567598
Essential,S. cerevisiae,0.4586135
Essential,S. cerevisiae,0.692148
Essential,S. cerevisiae,0.530089
Essential,S. cerevisiae,0.4161665
Essential,S. cerevisiae,0.716511
Essential,S. cerevisiae,0.449798
Essential,S. cerevisiae,0.559892
Essential,S. cerevisiae,0.327076
Essential,S. cerevisiae,0.674367
Essential,S. cerevisiae,0.6569715
Essential,S. cerevisiae,0.696869
Essential,S. cerevisiae,0.7227425
Essential,S. cerevisiae,0.540934
Essential,S. cerevisiae,0.658668
Essential,S. cerevisiae,0.397658
Essential,S. cerevisiae,0.35991
Essential,S. cerevisiae,0.656812
Essential,S. cerevisiae,0.544121
Essential,S. cerevisiae,0.6169535
Essential,S. cerevisiae,0.5069355
Essential,S. cerevisiae,0.565386
Essential,S. cerevisiae,0.723916
Essential,S. cerevisiae,0.774616
Essential,S. cerevisiae,0.657929
Essential,S. cerevisiae,0.6524225
Essential,S. cerevisiae,0.785297
Essential,S. cerevisiae,0.38911
Essential,S. cerevisiae,0.4589255
Essential,S. cerevisiae,0.5451225
Essential,S. cerevisiae,0.708399
Essential,S. cerevisiae,0.485879
Essential,S. cerevisiae,0.382017
Essential,S. cerevisiae,0.798822
Essential,S. cerevisiae,0.560444
Essential,S. cerevisiae,0.496879
Essential,S. cerevisiae,0.531437
Essential,S. cerevisiae,0.5313645
Essential,S. cerevisiae,0.5591005
Essential,S. cerevisiae,0.48739
Essential,S. cerevisiae,0.459259
Essential,S. cerevisiae,0.454677
Essential,S. cerevisiae,0.574126
Essential,S. cerevisiae,0.461393
Essential,S. cerevisiae,0.368774
Essential,S. cerevisiae,0.594812
Essential,S. cerevisiae,0.4057555
Essential,S. cerevisiae,0.422462
Essential,S. cerevisiae,0.472115
Essential,S. cerevisiae,0.7029555
Essential,S. cerevisiae,0.699894
Essential,S. cerevisiae,0.6601315
Essential,S. cerevisiae,0.442162
Essential,S. cerevisiae,0.7257505
Essential,S. cerevisiae,0.76924
Essential,S. cerevisiae,0.780794
Essential,S. cerevisiae,0.633226
Essential,S. cerevisiae,0.606642
Essential,S. cerevisiae,0.721698
Essential,S. cerevisiae,0.710625
Essential,S. cerevisiae,0.597987
Essential,S. cerevisiae,0.546069
Essential,S. cerevisiae,0.5951595
Essential,S. cerevisiae,0.5751295
Essential,S. cerevisiae,0.7460665
Essential,S. cerevisiae,0.737468
Essential,S. cerevisiae,0.645706
Essential,S. cerevisiae,0.775492
Essential,S. cerevisiae,0.503739
Essential,S. cerevisiae,0.717611
Essential,S. cerevisiae,0.6712665
Essential,S. cerevisiae,0.498775
Essential,S. cerevisiae,0.498775
Essential,S. cerevisiae,0.62443
Essential,S. cerevisiae,0.8157325
Essential,S. cerevisiae,0.516805
Essential,S. cerevisiae,0.4635645
Essential,S. cerevisiae,0.3638945
Essential,S. cerevisiae,0.678804
Essential,S. cerevisiae,0.438904
Essential,S. cerevisiae,0.5119735
Essential,S. cerevisiae,0.4298515
Essential,S. cerevisiae,0.50111
Essential,S. cerevisiae,0.7373195
Essential,S. cerevisiae,0.584266
Essential,S. cerevisiae,0.771959
Essential,S. cerevisiae,0.770654
Essential,S. cerevisiae,0.7233535
Essential,S. cerevisiae,0.381662
Essential,S. cerevisiae,0.595214
Essential,S. cerevisiae,0.586604
Essential,S. cerevisiae,0.39671
Essential,S. cerevisiae,0.3998805
Essential,S. cerevisiae,0.6960395
Essential,S. cerevisiae,0.473401
Essential,S. cerevisiae,0.451846
Essential,S. cerevisiae,0.467628
Essential,S. cerevisiae,0.566262
Essential,S. cerevisiae,0.573506
Essential,S. cerevisiae,0.4040815
Essential,S. cerevisiae,0.40763
Essential,S. cerevisiae,0.386322
Essential,S. cerevisiae,0.342887
Essential,S. cerevisiae,0.4512135
Essential,S. cerevisiae,0.6718755
Essential,S. cerevisiae,0.407574
Essential,S. cerevisiae,0.664848
Essential,S. cerevisiae,0.5226375
Essential,S. cerevisiae,0.7511335
Essential,S. cerevisiae,0.414042
Essential,S. cerevisiae,0.7385675
Essential,S. cerevisiae,0.514476
Essential,S. cerevisiae,0.506701
Essential,S. cerevisiae,0.587717
Essential,S. cerevisiae,0.3248795
Essential,S. cerevisiae,0.661494
Essential,S. cerevisiae,0.730989
Essential,S. cerevisiae,0.387469
Essential,S. cerevisiae,0.584437
Essential,S. cerevisiae,0.5485725
Essential,S. cerevisiae,0.502671
Essential,S. cerevisiae,0.354596
Essential,S. cerevisiae,0.4891125
Essential,S. cerevisiae,0.521042
Essential,S. cerevisiae,0.65865
Essential,S. cerevisiae,0.463939
Essential,S. cerevisiae,0.6938895
Essential,S. cerevisiae,0.49387
Essential,S. cerevisiae,0.418972
Essential,S. cerevisiae,0.446703
Essential,S. cerevisiae,0.7249785
Essential,S. cerevisiae,0.621026
Essential,S. cerevisiae,0.433292
Essential,S. cerevisiae,0.737797
Essential,S. cerevisiae,0.5296
Essential,S. cerevisiae,0.5015025
Essential,S. cerevisiae,0.43629
Essential,S. cerevisiae,0.597167
Essential,S. cerevisiae,0.680301
Essential,S. cerevisiae,0.6491655
Essential,S. cerevisiae,0.64544
Essential,S. cerevisiae,0.396612
Essential,S. cerevisiae,0.481284
Essential,S. cerevisiae,0.639023
Essential,S. cerevisiae,0.65034
Essential,S. cerevisiae,0.612826
Essential,S. cerevisiae,0.524245
Essential,S. cerevisiae,0.439089
Essential,S. cerevisiae,0.4043325
Essential,S. cerevisiae,0.354739
Essential,S. cerevisiae,0.534163
Essential,S. cerevisiae,0.4959675
Essential,S. cerevisiae,0.527087
Essential,S. cerevisiae,0.533276
